# Wordlist

# META
@date:2013-04-09
@source:Heath et al. (2013)

# TAXA
<taxa>
Bankan_Tey
Ben_Tey
Bunoge
Dogul_Dom
Gourou
Jamsay
Jamsay_Mondoro
Mombo
Nanga
Perge_Tegu
Tebul_Ure
Tiranige
Togo_Kan
Tommo_So
Tomo_Kan_Diangassagou
Toro_Tegu
Yanda_Dom
Yorno_So
</taxa>

# DATA
ID	CONCEPTS	TAXA	COUNTERPART	TOKENS	LEXSTATID
1416	forty	Tommo_So	pɛ́này	p ɛ́ n à dʒ	881
1417	forty	Dogul_Dom	dɛ́ɛ̀	d ɛ́ ɛ̀	882
1418	forty	Tebul_Ure	pɛ̀:kɛ́dɛ́	p ɛ̀ː k ɛ́ d ɛ́	888
1419	forty	Yanda_Dom	pɔ̀lɔ̀cɛ́zó	p ɔ̀ l ɔ̀ tʃ ɛ́ z ó	888
1420	forty	Tiranige	dɛ́:	d ɛ́ː	882
1421	forty	Mombo	dɛ̂:	d ɛ̂ː	882
1422	forty	Bunoge	dɛ́:	d ɛ́ː	882
#
1423	four	Toro_Tegu	nǎy	n ǎ dʒ	890
1424	four	Ben_Tey	nǐ:yⁿ	n ǐː dʒⁿ	890
1425	four	Bankan_Tey	nìŋŋěyⁿ	n ì ŋ ŋ ě dʒⁿ	889
1426	four	Nanga	nɔ̌yⁿ	n ɔ̌ dʒⁿ	890
1427	four	Jamsay	nǎyⁿ	n ǎ dʒⁿ	890
1428	four	Perge_Tegu	nǎyⁿ	n ǎ dʒⁿ	890
1429	four	Gourou	nǎyⁿ	n ǎ dʒⁿ	890
1430	four	Togo_Kan	nǎyⁿ	n ǎ dʒⁿ	890
1431	four	Yorno_So	nǎyⁿ	n ǎ dʒⁿ	890
1432	four	Tommo_So	nǎy	n ǎ dʒ	890
1433	four	Dogul_Dom	kɛ́ɛ́sɔ̀	k ɛ́ ɛ́ s ɔ̀	892
1434	four	Tebul_Ure	kɛ́dɛ́	k ɛ́ d ɛ́	892
1435	four	Tiranige	cɛ̀:jɔ̀	tʃ ɛ̀ː dʒ ɔ̀	892
1436	four	Mombo	kɛ́:jɔ́	k ɛ́ː dʒ ɔ́	892
1437	four	Bunoge	nê:wⁿ	n êː w̃	890
#
1438	fresh (produce)	Ben_Tey	ɔ̀rú	ɔ̀ r ú	893
1439	fresh (produce)	Bankan_Tey	ɔ̀rǔm	ɔ̀ r ǔ m	893
1440	fresh (produce)	Nanga	ɔ̀rí	ɔ̀ r í	893
1441	fresh (produce)	Jamsay	ɔ̀rú	ɔ̀ r ú	893
1442	fresh (produce)	Perge_Tegu	ɔ̀rú	ɔ̀ r ú	893
1443	fresh (produce)	Togo_Kan	ɔ̀rú	ɔ̀ r ú	893
1444	fresh (produce)	Yorno_So	ɔ̌l	ɔ̌ l	895
1445	fresh (produce)	Tomo_Kan_Diangassagou	ʔɔ́w	ʔ ɔ́ w	904
1446	fresh (produce)	Tommo_So	kóló	k ó l ó	895
1447	fresh (produce)	Dogul_Dom	ólùgù	ó l ù ɡ ù	895
1448	fresh (produce)	Tebul_Ure	kǒ:	k ǒː	895
1449	fresh (produce)	Yanda_Dom	kòlò	k ò l ò	895
1450	fresh (produce)	Tiranige	ɛ́wⁿ	ɛ́ w̃	901
1451	fresh (produce)	Mombo	kólò	k ó l ò	895
#
1452	fresh milk	Toro_Tegu	ɛ̀m ɛ́tú	ɛ̀ m # ɛ́ t ú	905
1453	fresh milk	Ben_Tey	ɛ̀wⁿɛ̀yⁿ cèsú	ɛ̀ w̃ ɛ̀ dʒⁿ # tʃ è s ú	905
1454	fresh milk	Bankan_Tey	ɛ̀mmɛ̀yⁿ kèsúm	ɛ̀ m m ɛ̀ dʒⁿ # k è s ú m	905
1455	fresh milk	Nanga	ɛ̀mɛ̀ kè:sí	ɛ̀ m ɛ̀ # k èː s í	905
1456	fresh milk	Jamsay	ɛ̀m kòró	ɛ̀ m # k ò r ó	905
1457	fresh milk	Perge_Tegu	ɛ̀m kòró	ɛ̀ m # k ò r ó	905
1458	fresh milk	Gourou	ɛ̀m kòró	ɛ̀ m # k ò r ó	905
1459	fresh milk	Togo_Kan	ìrì kòró	ì r ì # k ò r ó	905
1460	fresh milk	Yorno_So	ɛ̀m kòló	ɛ̀ m # k ò l ó	905
1461	fresh milk	Tomo_Kan_Diangassagou	nà:ʔì:ⁿ kóló	n àː ʔ ìːⁿ # k ó l ó	905
1462	fresh milk	Tommo_So	èm kòló	è m # k ò l ó	905
1463	fresh milk	Dogul_Dom	ììm kóló	ì ì m # k ó l ó	905
1464	fresh milk	Tebul_Ure	ɛ̀mnɛ̀ kǒ:	ɛ̀ m n ɛ̀ # k ǒː	905
1465	fresh milk	Yanda_Dom	ɛ̀mɛ̀ kòlò	ɛ̀ m ɛ̀ # k ò l ò	905
1466	fresh milk	Tiranige	ɛ̀mɛ̀ŋgè kóló	ɛ̀ m ɛ̀ ŋ ɡ è # k ó l ó	905
1467	fresh milk	Mombo	ɛ̀mɛ̀ kéló	ɛ̀ m ɛ̀ # k é l ó	905
#
1468	froth, foam (on tea)	Toro_Tegu	kùgíy	k ù ɡ í dʒ	918
1469	froth, foam (on tea)	Ben_Tey	yúgúrɔ̀	dʒ ú ɡ ú r ɔ̀	906
1470	froth, foam (on tea)	Bankan_Tey	kùkù:rú	k ù k ùː r ú	906
1471	froth, foam (on tea)	Jamsay	pútɔ̀	p ú t ɔ̀	909
1472	froth, foam (on tea)	Perge_Tegu	yɔ̀gɔ̀rɔ̀pútɔ̀	dʒ ɔ̀ ɡ ɔ̀ r ɔ̀ p ú t ɔ̀	906
1473	froth, foam (on tea)	Gourou	pútɔ̀	p ú t ɔ̀	909
1474	froth, foam (on tea)	Togo_Kan	yùgɔ́rɔ́	dʒ ù ɡ ɔ́ r ɔ́	906
1475	froth, foam (on tea)	Yorno_So	yúgɔ̀rɔ̀	dʒ ú ɡ ɔ̀ r ɔ̀	906
1476	froth, foam (on tea)	Tomo_Kan_Diangassagou	yúbɛ́rɛ́	dʒ ú b ɛ́ r ɛ́	908
1477	froth, foam (on tea)	Tommo_So	yúbúdɔ́	dʒ ú b ú d ɔ́	908
1478	froth, foam (on tea)	Dogul_Dom	yúbúlɔ́	dʒ ú b ú l ɔ́	908
1479	froth, foam (on tea)	Tebul_Ure	yúbdá	dʒ ú b d á	913
1480	froth, foam (on tea)	Yanda_Dom	bùɲá	b ù ɲ á	909
1481	froth, foam (on tea)	Tiranige	pùlá	p ù l á	908
1482	froth, foam (on tea)	Mombo	púlɔ́	p ú l ɔ́	908
#
1483	fun, game, festivity, song and dance	Toro_Tegu	cɛ̀ná	tʃ ɛ̀ n á	920
1484	fun, game, festivity, song and dance	Ben_Tey	cɛ̀mnɛ́	tʃ ɛ̀ m n ɛ́	920
1485	fun, game, festivity, song and dance	Bankan_Tey	cɛ̀mìrⁿɛ́	tʃ ɛ̀ m ì r̃ ɛ́	919
1486	fun, game, festivity, song and dance	Nanga	kɛ̀mìrⁿɛ́	k ɛ̀ m ì r̃ ɛ́	919
1487	fun, game, festivity, song and dance	Jamsay	cɛ̀rⁿɛ̀wⁿɛ́	tʃ ɛ̀ r̃ ɛ̀ w̃ ɛ́	922
1488	fun, game, festivity, song and dance	Perge_Tegu	kɛ̀mnɛ́	k ɛ̀ m n ɛ́	920
1489	fun, game, festivity, song and dance	Gourou	kɛ̀rⁿìwⁿɛ́	k ɛ̀ r̃ ì w̃ ɛ́	922
1490	fun, game, festivity, song and dance	Jamsay_Mondoro	cɛ̀rⁿɛ̀wⁿɛ́	tʃ ɛ̀ r̃ ɛ̀ w̃ ɛ́	922
1491	fun, game, festivity, song and dance	Yorno_So	yɔ́gɔ̀rɔ̀	dʒ ɔ́ ɡ ɔ̀ r ɔ̀	932
1492	fun, game, festivity, song and dance	Tommo_So	kìlɛ̀mɔ́	k ì l ɛ̀ m ɔ́	921
1493	fun, game, festivity, song and dance	Dogul_Dom	kɛ́l	k ɛ́ l	921
1494	fun, game, festivity, song and dance	Tebul_Ure	cɛ̀mnɛ́	tʃ ɛ̀ m n ɛ́	920
1495	fun, game, festivity, song and dance	Yanda_Dom	cɛ̀mnà	tʃ ɛ̀ m n à	920
1496	fun, game, festivity, song and dance	Mombo	mɛ́rù	m ɛ́ r ù	919
#
1497	gallbladder (containing bile)	Toro_Tegu	ànàŋgòlí	à n à ŋ ɡ ò l í	934
1498	gallbladder (containing bile)	Bankan_Tey	kɛ̀ndɛ̀ gàrûm	k ɛ̀ n d ɛ̀ # ɡ à r û m	933
1499	gallbladder (containing bile)	Nanga	kɛ̀ndɛ̀gárê	k ɛ̀ n d ɛ̀ ɡ á r ê	934
1500	gallbladder (containing bile)	Jamsay	cɛ̀nɛ̀ jé:rù	tʃ ɛ̀ n ɛ̀ # dʒ éː r ù	933
1501	gallbladder (containing bile)	Perge_Tegu	kɛ̀lɛ̀ gérù	k ɛ̀ l ɛ̀ # ɡ é r ù	933
1502	gallbladder (containing bile)	Togo_Kan	gɛ́ⁿ	ɡ ɛ̃́	942
1503	gallbladder (containing bile)	Yorno_So	gálɛ́:m	ɡ á l ɛ́ː m	945
1504	gallbladder (containing bile)	Tomo_Kan_Diangassagou	gɛ̀lɛ̀ⁿ	ɡ ɛ̀ l ɛ̃̀	942
1505	gallbladder (containing bile)	Dogul_Dom	gàlá símɛ̀	ɡ à l á # s í m ɛ̀	935
1506	gallbladder (containing bile)	Tebul_Ure	gárúkùmbà	ɡ á r ú k ù m b à	940
1507	gallbladder (containing bile)	Yanda_Dom	gá:líyám	ɡ áː l í dʒ á m	945
1508	gallbladder (containing bile)	Tiranige	ŋgàlàŋgàlà	ŋ ɡ à l à ŋ ɡ à l à	934
1509	gallbladder (containing bile)	Mombo	tóndó:ⁿ bòlìyà	t ó n d óːⁿ # b ò l ì dʒ à	937
1510	gallbladder (containing bile)	Bunoge	gàlàŋgàlà	ɡ à l à ŋ ɡ à l à	934
#
1511	give out a sneeze, sneeze (verb plus noun)	Ben_Tey	ìsìyâ: sá	ì s ì dʒ âː # s á	947
1512	give out a sneeze, sneeze (verb plus noun)	Bankan_Tey	tìsìyôw káŋ	t ì s ì dʒ ô w # k á ŋ	946
1513	give out a sneeze, sneeze (verb plus noun)	Nanga	ísê ìsé	í s ê # ì s é	947
1514	give out a sneeze, sneeze (verb plus noun)	Jamsay	ègèjé sá:	è ɡ è dʒ é # s áː	947
1515	give out a sneeze, sneeze (verb plus noun)	Perge_Tegu	ígísɛ̀ ígísɛ́	í ɡ í s ɛ̀ # í ɡ í s ɛ́	947
1516	give out a sneeze, sneeze (verb plus noun)	Gourou	èsìgé sá:	è s ì ɡ é # s áː	947
1517	give out a sneeze, sneeze (verb plus noun)	Jamsay_Mondoro	ègèjé sá:	è ɡ è dʒ é # s áː	947
1518	give out a sneeze, sneeze (verb plus noun)	Togo_Kan	àségú sá:	à s é ɡ ú # s áː	947
1519	give out a sneeze, sneeze (verb plus noun)	Yorno_So	èjìgílè sá:	è dʒ ì ɡ í l è # s áː	947
1520	give out a sneeze, sneeze (verb plus noun)	Tomo_Kan_Diangassagou	yìʔìjà yìʔìjì	dʒ ì ʔ ì dʒ à # dʒ ì ʔ ì dʒ ì	947
1521	give out a sneeze, sneeze (verb plus noun)	Tommo_So	ìsùgìlìyé sáá	ì s ù ɡ ì l ì dʒ é # s á á	947
1522	give out a sneeze, sneeze (verb plus noun)	Yanda_Dom	ìsìyà ísíyɛ́	ì s ì dʒ à # í s í dʒ ɛ́	947
1523	give out a sneeze, sneeze (verb plus noun)	Tiranige	íjálí íjáló	í dʒ á l í # í dʒ á l ó	951
1524	give out a sneeze, sneeze (verb plus noun)	Mombo	ìjìlì íjílè	ì dʒ ì l ì # í dʒ í l è	951
#
1525	gizzard	Toro_Tegu	cɛ́ⁿ	tʃ ɛ̃́	952
1526	gizzard	Ben_Tey	jɛ̂yⁿ	dʒ ɛ̂ dʒⁿ	952
1527	gizzard	Bankan_Tey	cɛ̀:ⁿcɛ̂:ⁿ	tʃ ɛ̀ːⁿ tʃ ɛ̃̂ː	952
1528	gizzard	Nanga	kársî	k á r s î	956
1529	gizzard	Jamsay	jɛ̂:ⁿ	dʒ ɛ̃̂ː	952
1530	gizzard	Perge_Tegu	gɛ̀:ⁿgɛ̂:ⁿ	ɡ ɛ̀ːⁿ ɡ ɛ̃̂ː	954
1531	gizzard	Gourou	gɛ̂:ⁿ	ɡ ɛ̃̂ː	954
1532	gizzard	Togo_Kan	gún	ɡ ú n	960
1533	gizzard	Yorno_So	gɛ̂:ⁿ	ɡ ɛ̃̂ː	954
1534	gizzard	Tomo_Kan_Diangassagou	jáⁿ	dʒ ã́	952
1535	gizzard	Tommo_So	gɛ̀ⁿgɛ̀ⁿgɛ̀ɛ́ⁿ	ɡ ɛ̃̀ ɡ ɛ̃̀ ɡ ɛ̀ ɛ̃́	954
1536	gizzard	Tebul_Ure	sɛ́gá:	s ɛ́ ɡ áː	958
1537	gizzard	Yanda_Dom	cɛ́:	tʃ ɛ́ː	952
1538	gizzard	Tiranige	jènjìjènjì	dʒ è n dʒ ì dʒ è n dʒ ì	959
#
1539	go hunting, do some hunting (verb plus noun)	Ben_Tey	dǎnnà dànní	d ǎ n n à # d à n n í	962
1540	go hunting, do some hunting (verb plus noun)	Bankan_Tey	àrⁿáósú òsíyé	à r̃ á ó s ú # ò s í dʒ é	961
1541	go hunting, do some hunting (verb plus noun)	Jamsay	dàná dàná	d à n á # d à n á	962
1542	go hunting, do some hunting (verb plus noun)	Perge_Tegu	dǎnnɛ̀ yǎ:	d ǎ n n ɛ̀ # dʒ ǎː	962
1543	go hunting, do some hunting (verb plus noun)	Gourou	dàná dàná	d à n á # d à n á	962
1544	go hunting, do some hunting (verb plus noun)	Jamsay_Mondoro	dàná yǎ:	d à n á # dʒ ǎː	962
1545	go hunting, do some hunting (verb plus noun)	Togo_Kan	dáná dàná	d á n á # d à n á	962
1546	go hunting, do some hunting (verb plus noun)	Yorno_So	dánù dàná	d á n ù # d à n á	962
1547	go hunting, do some hunting (verb plus noun)	Tomo_Kan_Diangassagou	sù:sɔ̀ swɛ́:	s ùː s ɔ̀ # s w ɛ́ː	961
1548	go hunting, do some hunting (verb plus noun)	Tommo_So	àntólú yàá	à n t ó l ú # dʒ à á	962
1549	go hunting, do some hunting (verb plus noun)	Dogul_Dom	dànné bɔ̀lɛ́	d à n n é # b ɔ̀ l ɛ́	962
1550	go hunting, do some hunting (verb plus noun)	Yanda_Dom	dàná dànú	d à n á # d à n ú	962
1551	go hunting, do some hunting (verb plus noun)	Tiranige	tà:nì tá:nó	t àː n ì # t áː n ó	962
1552	go hunting, do some hunting (verb plus noun)	Bunoge	dá:nàmà kánì	d áː n à m à # k á n ì	962
#
1553	granary	Toro_Tegu	pàŋá	p à ŋ á	963
1554	granary	Ben_Tey	dɛ̌w	d ɛ̌ w	964
1555	granary	Bankan_Tey	pàŋgâ:	p à ŋ ɡ âː	963
1556	granary	Nanga	tàrá	t à r á	970
1557	granary	Jamsay	gɔ̌:	ɡ ɔ̌ː	966
1558	granary	Perge_Tegu	gɔ̌:	ɡ ɔ̌ː	966
1559	granary	Gourou	gɔ̌:	ɡ ɔ̌ː	966
1560	granary	Jamsay_Mondoro	gɔ̌:	ɡ ɔ̌ː	966
1561	granary	Togo_Kan	gɔ̌:	ɡ ɔ̌ː	966
1562	granary	Yorno_So	gɛ̌:	ɡ ɛ̌ː	966
1563	granary	Tommo_So	kàɲɲàá	k à ɲ ɲ à á	975
1564	granary	Dogul_Dom	gùwá	ɡ ù w á	966
1565	granary	Tebul_Ure	gwǎ:	ɡ w ǎː	966
1566	granary	Yanda_Dom	gwà:	ɡ w àː	966
1567	granary	Tiranige	páŋgá	p á ŋ ɡ á	963
1568	granary	Bunoge	ʔɔ̀lɔ̀	ʔ ɔ̀ l ɔ̀	965
#
1569	green	Toro_Tegu	sɔ̀lɔ̀ɔ̀rú	s ɔ̀ l ɔ̀ ɔ̀ r ú	987
1570	green	Ben_Tey	sàwà: ɔ̀rú	s à w àː # ɔ̀ r ú	976
1571	green	Bankan_Tey	sàwà ɔ̀rúm	s à w à # ɔ̀ r ú m	976
1572	green	Nanga	sàwà ɔ̀rí	s à w à # ɔ̀ r í	976
1573	green	Jamsay	ɔ̀yɔ̀ ɔ̀rú	ɔ̀ dʒ ɔ̀ # ɔ̀ r ú	979
1574	green	Perge_Tegu	ɔ̀yɔ̀ ɔ̀rú	ɔ̀ dʒ ɔ̀ # ɔ̀ r ú	979
1575	green	Gourou	ɔ̀yɔ̀ ɔ̀rú	ɔ̀ dʒ ɔ̀ # ɔ̀ r ú	979
1576	green	Togo_Kan	bèrùɔ̀rú	b è r ù ɔ̀ r ú	985
1577	green	Yorno_So	wɛ́r	w ɛ́ r	989
1578	green	Tommo_So	wɛ́rú	w ɛ́ r ú	978
1579	green	Dogul_Dom	wɛ́ràŋ	w ɛ́ r à ŋ	978
1580	green	Yanda_Dom	vɛ̀rú	v ɛ̀ r ú	988
1581	green	Tiranige	kɔ̀ykóló	k ɔ̀ dʒ k ó l ó	984
1582	green	Mombo	kɔ́jí kólò	k ɔ́ dʒ í # k ó l ò	979
#
1583	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	Ben_Tey	nàwⁿá	n à w̃ á	990
1584	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	Bankan_Tey	nàmá	n à m á	990
1585	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	Nanga	nàmá	n à m á	990
1586	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	Jamsay	nɔ̀wⁿɔ́	n ɔ̀ w̃ ɔ́	990
1587	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	Perge_Tegu	nàwⁿá	n à w̃ á	990
1588	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	Gourou	nɔ̀wⁿɔ́	n ɔ̀ w̃ ɔ́	990
1589	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	Jamsay_Mondoro	nɔ̀wⁿɔ́	n ɔ̀ w̃ ɔ́	990
1590	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	Togo_Kan	nɔ̀wⁿɔ́	n ɔ̀ w̃ ɔ́	990
1591	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	Yorno_So	nàwⁿá	n à w̃ á	990
1592	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	Tomo_Kan_Diangassagou	nɛ̀mɛ̀	n ɛ̀ m ɛ̀	990
1593	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	Tommo_So	nàmá	n à m á	990
1594	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	Tiranige	námɔ́	n á m ɔ́	990
1595	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	Mombo	sá:rè	s áː r è	996
1596	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	Bunoge	námì	n á m ì	990
#
1597	gutter spout (on roof)	Toro_Tegu	sòló	s ò l ó	998
1598	gutter spout (on roof)	Ben_Tey	sòró	s ò r ó	998
1599	gutter spout (on roof)	Bankan_Tey	dɛ̀:dɛ̌:	d ɛ̀ː d ɛ̌ː	997
1600	gutter spout (on roof)	Nanga	ònjìyé	ò n dʒ ì dʒ é	997
1601	gutter spout (on roof)	Jamsay	sòró	s ò r ó	998
1602	gutter spout (on roof)	Perge_Tegu	dɔ̌:rɔ̀	d ɔ̌ː r ɔ̀	998
1603	gutter spout (on roof)	Gourou	sòró	s ò r ó	998
1604	gutter spout (on roof)	Togo_Kan	dɔ̀ŋɔ̀sɔ́:rɔ́	d ɔ̀ ŋ ɔ̀ s ɔ́ː r ɔ́	998
1605	gutter spout (on roof)	Yorno_So	dɔ̂:ⁿ	d ɔ̂ːⁿ	1000
1606	gutter spout (on roof)	Tommo_So	dɔ́ɔ́ⁿ	d ɔ́ ɔ̃́	1000
1607	gutter spout (on roof)	Dogul_Dom	dɔ́ŋɔ́	d ɔ́ ŋ ɔ́	1000
1608	gutter spout (on roof)	Tebul_Ure	dwǎ:ⁿ	d w ǎːⁿ	1006
1609	gutter spout (on roof)	Yanda_Dom	dɔ̌:ⁿ	d ɔ̌ːⁿ	1000
1610	gutter spout (on roof)	Tiranige	sílɔ́ndɔ̀	s í l ɔ́ n d ɔ̀	999
1611	gutter spout (on roof)	Mombo	sìlàndá	s ì l à n d á	999
1612	gutter spout (on roof)	Bunoge	sɔ́ndɔ̀	s ɔ́ n d ɔ̀	999
#
1613	hail, hailstones	Toro_Tegu	àŋkàrá	à ŋ k à r á	1012
1614	hail, hailstones	Ben_Tey	bòlnì: sàŋárⁿà	b ò l n ìː # s à ŋ á r̃ à	1007
1615	hail, hailstones	Bankan_Tey	bònnì: sàŋgírây	b ò n n ìː # s à ŋ ɡ í r â dʒ	1007
1616	hail, hailstones	Nanga	bòndìsàŋárⁿâ	b ò n d ì s à ŋ á r̃ â	1013
1617	hail, hailstones	Jamsay	ànnì: sàɣárà	à n n ìː # s à ɣ á r à	1007
1618	hail, hailstones	Perge_Tegu	ànì:sàŋárⁿà	à n ìː s à ŋ á r̃ à	1013
1619	hail, hailstones	Gourou	ànnì: sàɣárà	à n n ìː # s à ɣ á r à	1007
1620	hail, hailstones	Togo_Kan	àrⁿùsàgɛ̀rɛ́ⁿ	à r̃ ù s à ɡ ɛ̀ r ɛ̃́	1016
1621	hail, hailstones	Yorno_So	àrⁿùmsàŋálà	à r̃ ù m s à ŋ á l à	1013
1622	hail, hailstones	Tommo_So	ànà sàŋàlàý	à n à # s à ŋ à l à dʒ́	1007
1623	hail, hailstones	Dogul_Dom	áláà sɛ́ŋgúrúmɛ́	á l á à # s ɛ́ ŋ ɡ ú r ú m ɛ́	1009
1624	hail, hailstones	Tebul_Ure	àrⁿàìnjèsàŋgá	à r̃ à ì n dʒ è s à ŋ ɡ á	1013
1625	hail, hailstones	Yanda_Dom	àrⁿùnjùsàŋálà	à r̃ ù n dʒ ù s à ŋ á l à	1013
1626	hail, hailstones	Mombo	kálálì	k á l á l ì	1012
#
1627	hair	Toro_Tegu	kúrɔ́	k ú r ɔ́	1017
1628	hair	Ben_Tey	kùkùyɔ́	k ù k ù dʒ ɔ́	1017
1629	hair	Bankan_Tey	kùyá	k ù dʒ á	1017
1630	hair	Nanga	kìyá	k ì dʒ á	1017
1631	hair	Jamsay	kúrɔ́	k ú r ɔ́	1017
1632	hair	Perge_Tegu	kúrɔ́	k ú r ɔ́	1017
1633	hair	Gourou	kúrɔ́	k ú r ɔ́	1017
1634	hair	Togo_Kan	kúrɔ́	k ú r ɔ́	1017
1635	hair	Yorno_So	kùkûl	k ù k û l	1017
1636	hair	Tomo_Kan_Diangassagou	kùlɛ́	k ù l ɛ́	1017
1637	hair	Tommo_So	kúló	k ú l ó	1017
1638	hair	Dogul_Dom	kíŋgìlɛ̀	k í ŋ ɡ ì l ɛ̀	1020
1639	hair	Yanda_Dom	kùlà	k ù l à	1017
1640	hair	Tiranige	kùlèŋgè	k ù l è ŋ ɡ è	1017
1641	hair	Mombo	kúlɛ́	k ú l ɛ́	1017
1642	hair	Bunoge	kùlɛ̀	k ù l ɛ̀	1017
#
1643	hand	Toro_Tegu	lɔ̀tɔ́	l ɔ̀ t ɔ́	1032
1644	hand	Ben_Tey	nǎ:	n ǎː	1021
1645	hand	Bankan_Tey	nǎ:	n ǎː	1021
1646	hand	Nanga	nǎ:	n ǎː	1021
1647	hand	Jamsay	nùmó	n ù m ó	1021
1648	hand	Perge_Tegu	nùwⁿó	n ù w̃ ó	1021
1649	hand	Jamsay_Mondoro	nùmɔ́	n ù m ɔ́	1021
1650	hand	Yorno_So	nǒyⁿ	n ǒ dʒⁿ	1021
1651	hand	Tomo_Kan_Diangassagou	nùmàcàndà	n ù m à tʃ à n d à	1021
1652	hand	Tommo_So	nùmɔ́	n ù m ɔ́	1021
1653	hand	Dogul_Dom	nùmɔ́	n ù m ɔ́	1021
1654	hand	Tebul_Ure	nùmǎ:	n ù m ǎː	1021
1655	hand	Yanda_Dom	nùmà	n ù m à	1021
1656	hand	Tiranige	númá	n ú m á	1021
#
1657	hand, arm	Toro_Tegu	lɔ́	l ɔ́	1045
1658	hand, arm	Ben_Tey	nǎ:	n ǎː	1033
1659	hand, arm	Bankan_Tey	nǎ:	n ǎː	1033
1660	hand, arm	Nanga	nǎ:	n ǎː	1033
1661	hand, arm	Jamsay	nùmó	n ù m ó	1033
1662	hand, arm	Perge_Tegu	nùwⁿó	n ù w̃ ó	1033
1663	hand, arm	Gourou	nùmó	n ù m ó	1033
1664	hand, arm	Togo_Kan	nùmɔ́	n ù m ɔ́	1033
1665	hand, arm	Yorno_So	nǒyⁿ	n ǒ dʒⁿ	1033
1666	hand, arm	Tomo_Kan_Diangassagou	nùmà	n ù m à	1033
1667	hand, arm	Tommo_So	nùmɔ́	n ù m ɔ́	1033
1668	hand, arm	Dogul_Dom	nùmɔ́	n ù m ɔ́	1033
1669	hand, arm	Tebul_Ure	nùmǎ:	n ù m ǎː	1033
1670	hand, arm	Yanda_Dom	nùmà	n ù m à	1033
1671	hand, arm	Tiranige	númá	n ú m á	1033
#
1672	handle, shaft (of knife, hoe, etc.)	Toro_Tegu	kúsú	k ú s ú	1046
1673	handle, shaft (of knife, hoe, etc.)	Ben_Tey	kúsú	k ú s ú	1046
1674	handle, shaft (of knife, hoe, etc.)	Bankan_Tey	kúsá	k ú s á	1046
1675	handle, shaft (of knife, hoe, etc.)	Nanga	kúsá	k ú s á	1046
1676	handle, shaft (of knife, hoe, etc.)	Jamsay	kújú	k ú dʒ ú	1046
1677	handle, shaft (of knife, hoe, etc.)	Perge_Tegu	kúsú	k ú s ú	1046
1678	handle, shaft (of knife, hoe, etc.)	Gourou	kúsú	k ú s ú	1046
1679	handle, shaft (of knife, hoe, etc.)	Togo_Kan	kújú	k ú dʒ ú	1046
1680	handle, shaft (of knife, hoe, etc.)	Yorno_So	kújú	k ú dʒ ú	1046
1681	handle, shaft (of knife, hoe, etc.)	Tomo_Kan_Diangassagou	kùjá	k ù dʒ á	1046
1682	handle, shaft (of knife, hoe, etc.)	Tommo_So	kúdú	k ú d ú	1046
1683	handle, shaft (of knife, hoe, etc.)	Tebul_Ure	kúdúgó	k ú d ú ɡ ó	1046
1684	handle, shaft (of knife, hoe, etc.)	Yanda_Dom	kúzá	k ú z á	1046
1685	handle, shaft (of knife, hoe, etc.)	Tiranige	kùjɔ̀	k ù dʒ ɔ̀	1046
1686	handle, shaft (of knife, hoe, etc.)	Mombo	kújé	k ú dʒ é	1046
#
1687	hat (any type)	Toro_Tegu	pùŋùló	p ù ŋ ù l ó	1060
1688	hat (any type)	Bankan_Tey	kù:góró	k ùː ɡ ó r ó	1047
1689	hat (any type)	Nanga	kó:	k óː	1047
1690	hat (any type)	Jamsay	kù:ⁿkówó	k ũ̀ː k ó w ó	1047
1691	hat (any type)	Perge_Tegu	kùkó:	k ù k óː	1047
1692	hat (any type)	Gourou	kù:ⁿ kówó	k ũ̀ː # k ó w ó	1049
1693	hat (any type)	Jamsay_Mondoro	kù:ⁿkówó	k ũ̀ː k ó w ó	1047
1694	hat (any type)	Togo_Kan	kùⁿkúwó	k ũ̀ k ú w ó	1047
1695	hat (any type)	Yorno_So	góró	ɡ ó r ó	1047
1696	hat (any type)	Tomo_Kan_Diangassagou	bàwⁿfùlà	b à w̃ f ù l à	1048
1697	hat (any type)	Tommo_So	góró	ɡ ó r ó	1047
1698	hat (any type)	Tebul_Ure	kóbó	k ó b ó	1047
1699	hat (any type)	Yanda_Dom	gòdú	ɡ ò d ú	1047
1700	hat (any type)	Tiranige	cìwàlà	tʃ ì w à l à	1056
1701	hat (any type)	Mombo	bá:mbúlà	b áː m b ú l à	1048
