# Wordlist

# META
@date:2013-04-09
@source:Heath et al. (2013)

# TAXA
<taxa>
Bankan_Tey
Ben_Tey
Bunoge
Dogul_Dom
Gourou
Jamsay
Jamsay_Mondoro
Mombo
Nanga
Perge_Tegu
Tebul_Ure
Tiranige
Togo_Kan
Tommo_So
Tomo_Kan_Diangassagou
Toro_Tegu
Yanda_Dom
Yorno_So
</taxa>

# DATA
ID	DOCULECT	COUNTERPART	CONCEPT	TOKENS
1420	Tiranige	dɛ́:	forty	d ɛ́ː
1421	Mombo	dɛ̂:	forty	d ɛ̂ː
1422	Bunoge	dɛ́:	forty	d ɛ́ː
#
1423	Toro_Tegu	nǎy	four	n ǎ dʒ
1424	Ben_Tey	nǐ:yⁿ	four	n ǐː dʒⁿ
1425	Bankan_Tey	nìŋŋěyⁿ	four	n ì ŋ ŋ ě dʒⁿ
1426	Nanga	nɔ̌yⁿ	four	n ɔ̌ dʒⁿ
1427	Jamsay	nǎyⁿ	four	n ǎ dʒⁿ
1428	Perge_Tegu	nǎyⁿ	four	n ǎ dʒⁿ
1429	Gourou	nǎyⁿ	four	n ǎ dʒⁿ
1430	Togo_Kan	nǎyⁿ	four	n ǎ dʒⁿ
1431	Yorno_So	nǎyⁿ	four	n ǎ dʒⁿ
1432	Tommo_So	nǎy	four	n ǎ dʒ
1433	Dogul_Dom	kɛ́ɛ́sɔ̀	four	k ɛ́ ɛ́ s ɔ̀
1434	Tebul_Ure	kɛ́dɛ́	four	k ɛ́ d ɛ́
1435	Tiranige	cɛ̀:jɔ̀	four	tʃ ɛ̀ː dʒ ɔ̀
1436	Mombo	kɛ́:jɔ́	four	k ɛ́ː dʒ ɔ́
1437	Bunoge	nê:wⁿ	four	n êː w̃
#
1438	Ben_Tey	ɔ̀rú	fresh (produce)	ɔ̀ r ú
1439	Bankan_Tey	ɔ̀rǔm	fresh (produce)	ɔ̀ r ǔ m
1440	Nanga	ɔ̀rí	fresh (produce)	ɔ̀ r í
1441	Jamsay	ɔ̀rú	fresh (produce)	ɔ̀ r ú
1442	Perge_Tegu	ɔ̀rú	fresh (produce)	ɔ̀ r ú
1443	Togo_Kan	ɔ̀rú	fresh (produce)	ɔ̀ r ú
1444	Yorno_So	ɔ̌l	fresh (produce)	ɔ̌ l
1445	Tomo_Kan_Diangassagou	ʔɔ́w	fresh (produce)	ʔ ɔ́ w
1446	Tommo_So	kóló	fresh (produce)	k ó l ó
1447	Dogul_Dom	ólùgù	fresh (produce)	ó l ù ɡ ù
1448	Tebul_Ure	kǒ:	fresh (produce)	k ǒː
1449	Yanda_Dom	kòlò	fresh (produce)	k ò l ò
1450	Tiranige	ɛ́wⁿ	fresh (produce)	ɛ́ w̃
1451	Mombo	kólò	fresh (produce)	k ó l ò
#
1452	Toro_Tegu	ɛ̀m ɛ́tú	fresh milk	ɛ̀ m # ɛ́ t ú
1453	Ben_Tey	ɛ̀wⁿɛ̀yⁿ cèsú	fresh milk	ɛ̀ w̃ ɛ̀ dʒⁿ # tʃ è s ú
1454	Bankan_Tey	ɛ̀mmɛ̀yⁿ kèsúm	fresh milk	ɛ̀ m m ɛ̀ dʒⁿ # k è s ú m
1455	Nanga	ɛ̀mɛ̀ kè:sí	fresh milk	ɛ̀ m ɛ̀ # k èː s í
1456	Jamsay	ɛ̀m kòró	fresh milk	ɛ̀ m # k ò r ó
1457	Perge_Tegu	ɛ̀m kòró	fresh milk	ɛ̀ m # k ò r ó
1458	Gourou	ɛ̀m kòró	fresh milk	ɛ̀ m # k ò r ó
1459	Togo_Kan	ìrì kòró	fresh milk	ì r ì # k ò r ó
1460	Yorno_So	ɛ̀m kòló	fresh milk	ɛ̀ m # k ò l ó
1461	Tomo_Kan_Diangassagou	nà:ʔì:ⁿ kóló	fresh milk	n àː ʔ ìːⁿ # k ó l ó
1462	Tommo_So	èm kòló	fresh milk	è m # k ò l ó
1463	Dogul_Dom	ììm kóló	fresh milk	ì ì m # k ó l ó
1464	Tebul_Ure	ɛ̀mnɛ̀ kǒ:	fresh milk	ɛ̀ m n ɛ̀ # k ǒː
1465	Yanda_Dom	ɛ̀mɛ̀ kòlò	fresh milk	ɛ̀ m ɛ̀ # k ò l ò
1466	Tiranige	ɛ̀mɛ̀ŋgè kóló	fresh milk	ɛ̀ m ɛ̀ ŋ ɡ è # k ó l ó
1467	Mombo	ɛ̀mɛ̀ kéló	fresh milk	ɛ̀ m ɛ̀ # k é l ó
#
1468	Toro_Tegu	kùgíy	froth, foam (on tea)	k ù ɡ í dʒ
1469	Ben_Tey	yúgúrɔ̀	froth, foam (on tea)	dʒ ú ɡ ú r ɔ̀
1470	Bankan_Tey	kùkù:rú	froth, foam (on tea)	k ù k ùː r ú
1471	Jamsay	pútɔ̀	froth, foam (on tea)	p ú t ɔ̀
1472	Perge_Tegu	yɔ̀gɔ̀rɔ̀pútɔ̀	froth, foam (on tea)	dʒ ɔ̀ ɡ ɔ̀ r ɔ̀ p ú t ɔ̀
1473	Gourou	pútɔ̀	froth, foam (on tea)	p ú t ɔ̀
1474	Togo_Kan	yùgɔ́rɔ́	froth, foam (on tea)	dʒ ù ɡ ɔ́ r ɔ́
1475	Yorno_So	yúgɔ̀rɔ̀	froth, foam (on tea)	dʒ ú ɡ ɔ̀ r ɔ̀
1476	Tomo_Kan_Diangassagou	yúbɛ́rɛ́	froth, foam (on tea)	dʒ ú b ɛ́ r ɛ́
1477	Tommo_So	yúbúdɔ́	froth, foam (on tea)	dʒ ú b ú d ɔ́
1478	Dogul_Dom	yúbúlɔ́	froth, foam (on tea)	dʒ ú b ú l ɔ́
1479	Tebul_Ure	yúbdá	froth, foam (on tea)	dʒ ú b d á
1480	Yanda_Dom	bùɲá	froth, foam (on tea)	b ù ɲ á
1481	Tiranige	pùlá	froth, foam (on tea)	p ù l á
1482	Mombo	púlɔ́	froth, foam (on tea)	p ú l ɔ́
#
1483	Toro_Tegu	cɛ̀ná	fun, game, festivity, song and dance	tʃ ɛ̀ n á
1484	Ben_Tey	cɛ̀mnɛ́	fun, game, festivity, song and dance	tʃ ɛ̀ m n ɛ́
1485	Bankan_Tey	cɛ̀mìrⁿɛ́	fun, game, festivity, song and dance	tʃ ɛ̀ m ì r̃ ɛ́
1486	Nanga	kɛ̀mìrⁿɛ́	fun, game, festivity, song and dance	k ɛ̀ m ì r̃ ɛ́
1487	Jamsay	cɛ̀rⁿɛ̀wⁿɛ́	fun, game, festivity, song and dance	tʃ ɛ̀ r̃ ɛ̀ w̃ ɛ́
1488	Perge_Tegu	kɛ̀mnɛ́	fun, game, festivity, song and dance	k ɛ̀ m n ɛ́
1489	Gourou	kɛ̀rⁿìwⁿɛ́	fun, game, festivity, song and dance	k ɛ̀ r̃ ì w̃ ɛ́
1490	Jamsay_Mondoro	cɛ̀rⁿɛ̀wⁿɛ́	fun, game, festivity, song and dance	tʃ ɛ̀ r̃ ɛ̀ w̃ ɛ́
1491	Yorno_So	yɔ́gɔ̀rɔ̀	fun, game, festivity, song and dance	dʒ ɔ́ ɡ ɔ̀ r ɔ̀
1492	Tommo_So	kìlɛ̀mɔ́	fun, game, festivity, song and dance	k ì l ɛ̀ m ɔ́
1493	Dogul_Dom	kɛ́l	fun, game, festivity, song and dance	k ɛ́ l
1494	Tebul_Ure	cɛ̀mnɛ́	fun, game, festivity, song and dance	tʃ ɛ̀ m n ɛ́
1495	Yanda_Dom	cɛ̀mnà	fun, game, festivity, song and dance	tʃ ɛ̀ m n à
1496	Mombo	mɛ́rù	fun, game, festivity, song and dance	m ɛ́ r ù
#
1497	Toro_Tegu	ànàŋgòlí	gallbladder (containing bile)	à n à ŋ ɡ ò l í
1498	Bankan_Tey	kɛ̀ndɛ̀ gàrûm	gallbladder (containing bile)	k ɛ̀ n d ɛ̀ # ɡ à r û m
1499	Nanga	kɛ̀ndɛ̀gárê	gallbladder (containing bile)	k ɛ̀ n d ɛ̀ ɡ á r ê
1500	Jamsay	cɛ̀nɛ̀ jé:rù	gallbladder (containing bile)	tʃ ɛ̀ n ɛ̀ # dʒ éː r ù
1501	Perge_Tegu	kɛ̀lɛ̀ gérù	gallbladder (containing bile)	k ɛ̀ l ɛ̀ # ɡ é r ù
1502	Togo_Kan	gɛ́ⁿ	gallbladder (containing bile)	ɡ ɛ̃́
1503	Yorno_So	gálɛ́:m	gallbladder (containing bile)	ɡ á l ɛ́ː m
1504	Tomo_Kan_Diangassagou	gɛ̀lɛ̀ⁿ	gallbladder (containing bile)	ɡ ɛ̀ l ɛ̃̀
1505	Dogul_Dom	gàlá símɛ̀	gallbladder (containing bile)	ɡ à l á # s í m ɛ̀
1506	Tebul_Ure	gárúkùmbà	gallbladder (containing bile)	ɡ á r ú k ù m b à
1507	Yanda_Dom	gá:líyám	gallbladder (containing bile)	ɡ áː l í dʒ á m
1508	Tiranige	ŋgàlàŋgàlà	gallbladder (containing bile)	ŋ ɡ à l à ŋ ɡ à l à
1509	Mombo	tóndó:ⁿ bòlìyà	gallbladder (containing bile)	t ó n d óːⁿ # b ò l ì dʒ à
1510	Bunoge	gàlàŋgàlà	gallbladder (containing bile)	ɡ à l à ŋ ɡ à l à
#
1511	Ben_Tey	ìsìyâ: sá	give out a sneeze, sneeze (verb plus noun)	ì s ì dʒ âː # s á
1512	Bankan_Tey	tìsìyôw káŋ	give out a sneeze, sneeze (verb plus noun)	t ì s ì dʒ ô w # k á ŋ
1513	Nanga	ísê ìsé	give out a sneeze, sneeze (verb plus noun)	í s ê # ì s é
1514	Jamsay	ègèjé sá:	give out a sneeze, sneeze (verb plus noun)	è ɡ è dʒ é # s áː
1515	Perge_Tegu	ígísɛ̀ ígísɛ́	give out a sneeze, sneeze (verb plus noun)	í ɡ í s ɛ̀ # í ɡ í s ɛ́
1516	Gourou	èsìgé sá:	give out a sneeze, sneeze (verb plus noun)	è s ì ɡ é # s áː
1517	Jamsay_Mondoro	ègèjé sá:	give out a sneeze, sneeze (verb plus noun)	è ɡ è dʒ é # s áː
1518	Togo_Kan	àségú sá:	give out a sneeze, sneeze (verb plus noun)	à s é ɡ ú # s áː
1519	Yorno_So	èjìgílè sá:	give out a sneeze, sneeze (verb plus noun)	è dʒ ì ɡ í l è # s áː
1520	Tomo_Kan_Diangassagou	yìʔìjà yìʔìjì	give out a sneeze, sneeze (verb plus noun)	dʒ ì ʔ ì dʒ à # dʒ ì ʔ ì dʒ ì
1521	Tommo_So	ìsùgìlìyé sáá	give out a sneeze, sneeze (verb plus noun)	ì s ù ɡ ì l ì dʒ é # s á á
1522	Yanda_Dom	ìsìyà ísíyɛ́	give out a sneeze, sneeze (verb plus noun)	ì s ì dʒ à # í s í dʒ ɛ́
1523	Tiranige	íjálí íjáló	give out a sneeze, sneeze (verb plus noun)	í dʒ á l í # í dʒ á l ó
1524	Mombo	ìjìlì íjílè	give out a sneeze, sneeze (verb plus noun)	ì dʒ ì l ì # í dʒ í l è
#
1525	Toro_Tegu	cɛ́ⁿ	gizzard	tʃ ɛ̃́
1526	Ben_Tey	jɛ̂yⁿ	gizzard	dʒ ɛ̂ dʒⁿ
1527	Bankan_Tey	cɛ̀:ⁿcɛ̂:ⁿ	gizzard	tʃ ɛ̀ːⁿ tʃ ɛ̃̂ː
1528	Nanga	kársî	gizzard	k á r s î
1529	Jamsay	jɛ̂:ⁿ	gizzard	dʒ ɛ̃̂ː
1530	Perge_Tegu	gɛ̀:ⁿgɛ̂:ⁿ	gizzard	ɡ ɛ̀ːⁿ ɡ ɛ̃̂ː
1531	Gourou	gɛ̂:ⁿ	gizzard	ɡ ɛ̃̂ː
1532	Togo_Kan	gún	gizzard	ɡ ú n
1533	Yorno_So	gɛ̂:ⁿ	gizzard	ɡ ɛ̃̂ː
1534	Tomo_Kan_Diangassagou	jáⁿ	gizzard	dʒ ã́
1535	Tommo_So	gɛ̀ⁿgɛ̀ⁿgɛ̀ɛ́ⁿ	gizzard	ɡ ɛ̃̀ ɡ ɛ̃̀ ɡ ɛ̀ ɛ̃́
1536	Tebul_Ure	sɛ́gá:	gizzard	s ɛ́ ɡ áː
1537	Yanda_Dom	cɛ́:	gizzard	tʃ ɛ́ː
1538	Tiranige	jènjìjènjì	gizzard	dʒ è n dʒ ì dʒ è n dʒ ì
#
1539	Ben_Tey	dǎnnà dànní	go hunting, do some hunting (verb plus noun)	d ǎ n n à # d à n n í
1540	Bankan_Tey	àrⁿáósú òsíyé	go hunting, do some hunting (verb plus noun)	à r̃ á ó s ú # ò s í dʒ é
1541	Jamsay	dàná dàná	go hunting, do some hunting (verb plus noun)	d à n á # d à n á
1542	Perge_Tegu	dǎnnɛ̀ yǎ:	go hunting, do some hunting (verb plus noun)	d ǎ n n ɛ̀ # dʒ ǎː
1543	Gourou	dàná dàná	go hunting, do some hunting (verb plus noun)	d à n á # d à n á
1544	Jamsay_Mondoro	dàná yǎ:	go hunting, do some hunting (verb plus noun)	d à n á # dʒ ǎː
1545	Togo_Kan	dáná dàná	go hunting, do some hunting (verb plus noun)	d á n á # d à n á
1546	Yorno_So	dánù dàná	go hunting, do some hunting (verb plus noun)	d á n ù # d à n á
1547	Tomo_Kan_Diangassagou	sù:sɔ̀ swɛ́:	go hunting, do some hunting (verb plus noun)	s ùː s ɔ̀ # s w ɛ́ː
1548	Tommo_So	àntólú yàá	go hunting, do some hunting (verb plus noun)	à n t ó l ú # dʒ à á
1549	Dogul_Dom	dànné bɔ̀lɛ́	go hunting, do some hunting (verb plus noun)	d à n n é # b ɔ̀ l ɛ́
1550	Yanda_Dom	dàná dànú	go hunting, do some hunting (verb plus noun)	d à n á # d à n ú
1551	Tiranige	tà:nì tá:nó	go hunting, do some hunting (verb plus noun)	t àː n ì # t áː n ó
1552	Bunoge	dá:nàmà kánì	go hunting, do some hunting (verb plus noun)	d áː n à m à # k á n ì
#
1553	Toro_Tegu	pàŋá	granary	p à ŋ á
1554	Ben_Tey	dɛ̌w	granary	d ɛ̌ w
1555	Bankan_Tey	pàŋgâ:	granary	p à ŋ ɡ âː
1556	Nanga	tàrá	granary	t à r á
1557	Jamsay	gɔ̌:	granary	ɡ ɔ̌ː
1558	Perge_Tegu	gɔ̌:	granary	ɡ ɔ̌ː
1559	Gourou	gɔ̌:	granary	ɡ ɔ̌ː
1560	Jamsay_Mondoro	gɔ̌:	granary	ɡ ɔ̌ː
1561	Togo_Kan	gɔ̌:	granary	ɡ ɔ̌ː
1562	Yorno_So	gɛ̌:	granary	ɡ ɛ̌ː
1563	Tommo_So	kàɲɲàá	granary	k à ɲ ɲ à á
1564	Dogul_Dom	gùwá	granary	ɡ ù w á
1565	Tebul_Ure	gwǎ:	granary	ɡ w ǎː
1566	Yanda_Dom	gwà:	granary	ɡ w àː
1567	Tiranige	páŋgá	granary	p á ŋ ɡ á
1568	Bunoge	ʔɔ̀lɔ̀	granary	ʔ ɔ̀ l ɔ̀
#
1569	Toro_Tegu	sɔ̀lɔ̀ɔ̀rú	green	s ɔ̀ l ɔ̀ ɔ̀ r ú
1570	Ben_Tey	sàwà: ɔ̀rú	green	s à w àː # ɔ̀ r ú
1571	Bankan_Tey	sàwà ɔ̀rúm	green	s à w à # ɔ̀ r ú m
1572	Nanga	sàwà ɔ̀rí	green	s à w à # ɔ̀ r í
1573	Jamsay	ɔ̀yɔ̀ ɔ̀rú	green	ɔ̀ dʒ ɔ̀ # ɔ̀ r ú
1574	Perge_Tegu	ɔ̀yɔ̀ ɔ̀rú	green	ɔ̀ dʒ ɔ̀ # ɔ̀ r ú
1575	Gourou	ɔ̀yɔ̀ ɔ̀rú	green	ɔ̀ dʒ ɔ̀ # ɔ̀ r ú
1576	Togo_Kan	bèrùɔ̀rú	green	b è r ù ɔ̀ r ú
1577	Yorno_So	wɛ́r	green	w ɛ́ r
1578	Tommo_So	wɛ́rú	green	w ɛ́ r ú
1579	Dogul_Dom	wɛ́ràŋ	green	w ɛ́ r à ŋ
1580	Yanda_Dom	vɛ̀rú	green	v ɛ̀ r ú
1581	Tiranige	kɔ̀ykóló	green	k ɔ̀ dʒ k ó l ó
1582	Mombo	kɔ́jí kólò	green	k ɔ́ dʒ í # k ó l ò
#
1583	Ben_Tey	nàwⁿá	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	n à w̃ á
1584	Bankan_Tey	nàmá	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	n à m á
1585	Nanga	nàmá	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	n à m á
1586	Jamsay	nɔ̀wⁿɔ́	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	n ɔ̀ w̃ ɔ́
1587	Perge_Tegu	nàwⁿá	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	n à w̃ á
1588	Gourou	nɔ̀wⁿɔ́	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	n ɔ̀ w̃ ɔ́
1589	Jamsay_Mondoro	nɔ̀wⁿɔ́	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	n ɔ̀ w̃ ɔ́
1590	Togo_Kan	nɔ̀wⁿɔ́	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	n ɔ̀ w̃ ɔ́
1591	Yorno_So	nàwⁿá	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	n à w̃ á
1592	Tomo_Kan_Diangassagou	nɛ̀mɛ̀	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	n ɛ̀ m ɛ̀
1593	Tommo_So	nàmá	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	n à m á
1594	Tiranige	námɔ́	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	n á m ɔ́
1595	Mombo	sá:rè	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	s áː r è
1596	Bunoge	námì	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	n á m ì
#
1597	Toro_Tegu	sòló	gutter spout (on roof)	s ò l ó
1598	Ben_Tey	sòró	gutter spout (on roof)	s ò r ó
1599	Bankan_Tey	dɛ̀:dɛ̌:	gutter spout (on roof)	d ɛ̀ː d ɛ̌ː
1600	Nanga	ònjìyé	gutter spout (on roof)	ò n dʒ ì dʒ é
1601	Jamsay	sòró	gutter spout (on roof)	s ò r ó
1602	Perge_Tegu	dɔ̌:rɔ̀	gutter spout (on roof)	d ɔ̌ː r ɔ̀
1603	Gourou	sòró	gutter spout (on roof)	s ò r ó
1604	Togo_Kan	dɔ̀ŋɔ̀sɔ́:rɔ́	gutter spout (on roof)	d ɔ̀ ŋ ɔ̀ s ɔ́ː r ɔ́
1605	Yorno_So	dɔ̂:ⁿ	gutter spout (on roof)	d ɔ̂ːⁿ
1606	Tommo_So	dɔ́ɔ́ⁿ	gutter spout (on roof)	d ɔ́ ɔ̃́
1607	Dogul_Dom	dɔ́ŋɔ́	gutter spout (on roof)	d ɔ́ ŋ ɔ́
1608	Tebul_Ure	dwǎ:ⁿ	gutter spout (on roof)	d w ǎːⁿ
1609	Yanda_Dom	dɔ̌:ⁿ	gutter spout (on roof)	d ɔ̌ːⁿ
1610	Tiranige	sílɔ́ndɔ̀	gutter spout (on roof)	s í l ɔ́ n d ɔ̀
1611	Mombo	sìlàndá	gutter spout (on roof)	s ì l à n d á
1612	Bunoge	sɔ́ndɔ̀	gutter spout (on roof)	s ɔ́ n d ɔ̀
#
1613	Toro_Tegu	àŋkàrá	hail, hailstones	à ŋ k à r á
1614	Ben_Tey	bòlnì: sàŋárⁿà	hail, hailstones	b ò l n ìː # s à ŋ á r̃ à
1615	Bankan_Tey	bònnì: sàŋgírây	hail, hailstones	b ò n n ìː # s à ŋ ɡ í r â dʒ
1616	Nanga	bòndìsàŋárⁿâ	hail, hailstones	b ò n d ì s à ŋ á r̃ â
1617	Jamsay	ànnì: sàɣárà	hail, hailstones	à n n ìː # s à ɣ á r à
1618	Perge_Tegu	ànì:sàŋárⁿà	hail, hailstones	à n ìː s à ŋ á r̃ à
1619	Gourou	ànnì: sàɣárà	hail, hailstones	à n n ìː # s à ɣ á r à
1620	Togo_Kan	àrⁿùsàgɛ̀rɛ́ⁿ	hail, hailstones	à r̃ ù s à ɡ ɛ̀ r ɛ̃́
1621	Yorno_So	àrⁿùmsàŋálà	hail, hailstones	à r̃ ù m s à ŋ á l à
1622	Tommo_So	ànà sàŋàlàý	hail, hailstones	à n à # s à ŋ à l à dʒ́
1623	Dogul_Dom	áláà sɛ́ŋgúrúmɛ́	hail, hailstones	á l á à # s ɛ́ ŋ ɡ ú r ú m ɛ́
1624	Tebul_Ure	àrⁿàìnjèsàŋgá	hail, hailstones	à r̃ à ì n dʒ è s à ŋ ɡ á
1625	Yanda_Dom	àrⁿùnjùsàŋálà	hail, hailstones	à r̃ ù n dʒ ù s à ŋ á l à
1626	Mombo	kálálì	hail, hailstones	k á l á l ì
#
1627	Toro_Tegu	kúrɔ́	hair	k ú r ɔ́
1628	Ben_Tey	kùkùyɔ́	hair	k ù k ù dʒ ɔ́
1629	Bankan_Tey	kùyá	hair	k ù dʒ á
1630	Nanga	kìyá	hair	k ì dʒ á
1631	Jamsay	kúrɔ́	hair	k ú r ɔ́
1632	Perge_Tegu	kúrɔ́	hair	k ú r ɔ́
1633	Gourou	kúrɔ́	hair	k ú r ɔ́
1634	Togo_Kan	kúrɔ́	hair	k ú r ɔ́
1635	Yorno_So	kùkûl	hair	k ù k û l
1636	Tomo_Kan_Diangassagou	kùlɛ́	hair	k ù l ɛ́
1637	Tommo_So	kúló	hair	k ú l ó
1638	Dogul_Dom	kíŋgìlɛ̀	hair	k í ŋ ɡ ì l ɛ̀
1639	Yanda_Dom	kùlà	hair	k ù l à
1640	Tiranige	kùlèŋgè	hair	k ù l è ŋ ɡ è
1641	Mombo	kúlɛ́	hair	k ú l ɛ́
1642	Bunoge	kùlɛ̀	hair	k ù l ɛ̀
#
1643	Toro_Tegu	lɔ̀tɔ́	hand	l ɔ̀ t ɔ́
1644	Ben_Tey	nǎ:	hand	n ǎː
1645	Bankan_Tey	nǎ:	hand	n ǎː
1646	Nanga	nǎ:	hand	n ǎː
1647	Jamsay	nùmó	hand	n ù m ó
1648	Perge_Tegu	nùwⁿó	hand	n ù w̃ ó
1649	Jamsay_Mondoro	nùmɔ́	hand	n ù m ɔ́
1650	Yorno_So	nǒyⁿ	hand	n ǒ dʒⁿ
1651	Tomo_Kan_Diangassagou	nùmàcàndà	hand	n ù m à tʃ à n d à
1652	Tommo_So	nùmɔ́	hand	n ù m ɔ́
1653	Dogul_Dom	nùmɔ́	hand	n ù m ɔ́
1654	Tebul_Ure	nùmǎ:	hand	n ù m ǎː
1655	Yanda_Dom	nùmà	hand	n ù m à
1656	Tiranige	númá	hand	n ú m á
#
1657	Toro_Tegu	lɔ́	hand, arm	l ɔ́
1658	Ben_Tey	nǎ:	hand, arm	n ǎː
1659	Bankan_Tey	nǎ:	hand, arm	n ǎː
1660	Nanga	nǎ:	hand, arm	n ǎː
1661	Jamsay	nùmó	hand, arm	n ù m ó
1662	Perge_Tegu	nùwⁿó	hand, arm	n ù w̃ ó
1663	Gourou	nùmó	hand, arm	n ù m ó
1664	Togo_Kan	nùmɔ́	hand, arm	n ù m ɔ́
1665	Yorno_So	nǒyⁿ	hand, arm	n ǒ dʒⁿ
1666	Tomo_Kan_Diangassagou	nùmà	hand, arm	n ù m à
1667	Tommo_So	nùmɔ́	hand, arm	n ù m ɔ́
1668	Dogul_Dom	nùmɔ́	hand, arm	n ù m ɔ́
1669	Tebul_Ure	nùmǎ:	hand, arm	n ù m ǎː
1670	Yanda_Dom	nùmà	hand, arm	n ù m à
1671	Tiranige	númá	hand, arm	n ú m á
#
1672	Toro_Tegu	kúsú	handle, shaft (of knife, hoe, etc.)	k ú s ú
1673	Ben_Tey	kúsú	handle, shaft (of knife, hoe, etc.)	k ú s ú
1674	Bankan_Tey	kúsá	handle, shaft (of knife, hoe, etc.)	k ú s á
1675	Nanga	kúsá	handle, shaft (of knife, hoe, etc.)	k ú s á
1676	Jamsay	kújú	handle, shaft (of knife, hoe, etc.)	k ú dʒ ú
1677	Perge_Tegu	kúsú	handle, shaft (of knife, hoe, etc.)	k ú s ú
1678	Gourou	kúsú	handle, shaft (of knife, hoe, etc.)	k ú s ú
1679	Togo_Kan	kújú	handle, shaft (of knife, hoe, etc.)	k ú dʒ ú
1680	Yorno_So	kújú	handle, shaft (of knife, hoe, etc.)	k ú dʒ ú
1681	Tomo_Kan_Diangassagou	kùjá	handle, shaft (of knife, hoe, etc.)	k ù dʒ á
1682	Tommo_So	kúdú	handle, shaft (of knife, hoe, etc.)	k ú d ú
1683	Tebul_Ure	kúdúgó	handle, shaft (of knife, hoe, etc.)	k ú d ú ɡ ó
1684	Yanda_Dom	kúzá	handle, shaft (of knife, hoe, etc.)	k ú z á
1685	Tiranige	kùjɔ̀	handle, shaft (of knife, hoe, etc.)	k ù dʒ ɔ̀
1686	Mombo	kújé	handle, shaft (of knife, hoe, etc.)	k ú dʒ é
#
1687	Toro_Tegu	pùŋùló	hat (any type)	p ù ŋ ù l ó
1688	Bankan_Tey	kù:góró	hat (any type)	k ùː ɡ ó r ó
1689	Nanga	kó:	hat (any type)	k óː
1690	Jamsay	kù:ⁿkówó	hat (any type)	k ũ̀ː k ó w ó
1691	Perge_Tegu	kùkó:	hat (any type)	k ù k óː
1692	Gourou	kù:ⁿ kówó	hat (any type)	k ũ̀ː # k ó w ó
1693	Jamsay_Mondoro	kù:ⁿkówó	hat (any type)	k ũ̀ː k ó w ó
1694	Togo_Kan	kùⁿkúwó	hat (any type)	k ũ̀ k ú w ó
1695	Yorno_So	góró	hat (any type)	ɡ ó r ó
1696	Tomo_Kan_Diangassagou	bàwⁿfùlà	hat (any type)	b à w̃ f ù l à
1697	Tommo_So	góró	hat (any type)	ɡ ó r ó
1698	Tebul_Ure	kóbó	hat (any type)	k ó b ó
1699	Yanda_Dom	gòdú	hat (any type)	ɡ ò d ú
1700	Tiranige	cìwàlà	hat (any type)	tʃ ì w à l à
1701	Mombo	bá:mbúlà	hat (any type)	b áː m b ú l à
1702	Bunoge	bàmbúlà	hat (any type)	b à m b ú l à
#
1703	Ben_Tey	yá bú	he is there	dʒ á # b ú
1704	Bankan_Tey	yá bún	he is there	dʒ á # b ú n
1705	Nanga	yá bù	he is there	dʒ á # b ù
1706	Perge_Tegu	yɔ̂:	he is there	dʒ ɔ̂ː
1707	Gourou	yɔ́ wɔ̀	he is there	dʒ ɔ́ # w ɔ̀
1708	Togo_Kan	wó yɔ́ wɔ̀	he is there	w ó # dʒ ɔ́ # w ɔ̀
1709	Yorno_So	yá wɔ̀	he is there	dʒ á # w ɔ̀
1710	Tommo_So	nɔ̀nú kɔ̂	he is there	n ɔ̀ n ú # k ɔ̂
1711	Dogul_Dom	yò bó	he is there	dʒ ò # b ó
1712	Tebul_Ure	yé bù	he is there	dʒ é # b ù
1713	Yanda_Dom	yà bó	he is there	dʒ à # b ó
1714	Tiranige	é wò	he is there	é # w ò
1715	Mombo	òbó:	he is there	ò b óː
1716	Bunoge	bò	he is there	b ò
#
1717	Toro_Tegu	cɛ̀làtóŋó	heart	tʃ ɛ̀ l à t ó ŋ ó
1718	Ben_Tey	cɛ̀lɛ̀yî:	heart	tʃ ɛ̀ l ɛ̀ dʒ îː
1719	Bankan_Tey	kɛ̀ndɛ̀ dúwà	heart	k ɛ̀ n d ɛ̀ # d ú w à
1720	Nanga	kɛ̀ndɛ̀sóró	heart	k ɛ̀ n d ɛ̀ s ó r ó
1721	Jamsay	cɛ́nɛ̀	heart	tʃ ɛ́ n ɛ̀
1722	Perge_Tegu	kɛ̀lɛ̀î:ⁿ	heart	k ɛ̀ l ɛ̀ ĩ̂ː
1723	Gourou	kɛ̀nɛ̀ î:ⁿ	heart	k ɛ̀ n ɛ̀ # ĩ̂ː
