# SLV
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
429	Czech	salt	104	suːl	s uː l	155
# 
430	Russian	short	105	kɐrotkʲɪj	k ɐ r o t kʲ ɪ j	157
431	Polish	short	105	krutki	k r u t k i	157
432	Bulgarian	short	105	kratək	k r a t ə k	157
433	Czech	short	105	kraːtkiː	k r aː t k iː	157
434	Bulgarian	short	105	kɤs	k ɤ s	156
# 
435	Russian	snake	106	zmʲɪja	z mʲ ɪ j a	158
436	Polish	snake	106	ʒmija	ʒ m i j a	158
437	Bulgarian	snake	106	zmija	z m i j a	158
438	Czech	snake	106	ɦat	ɦ a t	160
439	Polish	snake	106	vɔ̃ʒ	v ɔ̃ ʒ	159
# 
440	Russian	thin	107	tonkʲɪj	t o n kʲ ɪ j	161
441	Polish	thin	107	ʨɛ̃nki	ʨ ɛ̃ n k i	161
442	Bulgarian	thin	107	tɤnək	t ɤ n ə k	161
443	Czech	thin	107	tɛŋkiː	t ɛ ŋ k iː	161
# 
444	Russian	wind	108	vʲetʲɪr	vʲ e tʲ ɪ r	162
445	Polish	wind	108	vʲatr	vʲ a t r	162
446	Bulgarian	wind	108	vʲatər	vʲ a t ə r	162
# 
447	Russian	worm	109	ʧerfʲ	ʧ e r fʲ	163
448	Polish	worm	109	ʧɛrf	ʧ ɛ r f	163
449	Bulgarian	worm	109	ʧɛrvɛj	ʧ ɛ r v ɛ j	163
450	Czech	worm	109	ʧɛrf	ʧ ɛ r f	163
# 
451	Russian	year	110	ɡot	ɡ o t	165
452	Polish	year	110	rɔk	r ɔ k	164
453	Bulgarian	year	110	ɡodinə	ɡ o d i n ə	165
454	Czech	year	110	rok	r o k	164
