code (Eng)	subcode (Eng)	code (fr)	sous-code (fr)	code #	subcode #	subsubcode #	short	court	ref#	date	comment	Leipzig-Jakarta	Swadesh (AH)	English	français	NAME Toro Tegu	NAME Bangime	NAME Sangha So	NAME Ben Tey	NAME Bankan-Tey	NAME Nanga	Jamsay (alphabet)	NAME Jamsay Douentza	NAME Perge Tegu	NAME Gourou	NAME Jamsay Mondoro	NAME Togo-Kan	NAME Yorno-So	NAME Tomo Kan Segue	NAME Tomo Kan Diangassagou	NAME Tommo-So	NAME Dogul Dom	 NAME Tebul Ure	NAME Yanda Dom	NAME Najamba	NAME Tiranige	NAME Mombo	NAME Ampari	NAME Bunoge	NAME Penange
calabash/gourd	calabash (liquids)	calebasse/gourde	calebasse (liquides)	38	3	6	calabash (for liquids)	calebasse (à liquides)	02367	old			calabash with light-colored interior for liquids (water, milk, cream)	calabash with light-colored interior for liquids (water, milk, cream)	calebasse à intérieur claire pour les liquides (eau, lait, crème)	ní kàs-ì:	tùmbá	kɔ̀rɔ̀ sííⁿ	kɔ̀sù-[nì:-[nɔ̌-ỳⁿ]]		kɔ̀sì-[nì:-nɔ᷈:]	kajunɔ	kàjù-nɔ̌:				kàjù nɔ̌:		ʔàlàkwɛ̀mɛ́		kɔ̀rɔ̀ tógóló									
calabash/gourd	calabash (pointed)	calebasse/gourde	calebasse (pointue)	38	7	1	calabash (protrusions)	calebasse (pointes)	02379	old			small calabash with protrusions on side (for milk)	small calabash with protrusions on side (for milk)	petite calebasse à pointes saillantes (pour le lait)	kàsù-[kúlú-kúlú]	kórì ʤìnʤú	kɔ̀rɔ̀ kùɲú	kɔ̀sù pɔ̀tɔ́, kɔ̀sù kùnjú	kɔ̀sù kùrjí	kɔ̀sù-pɔ̀tɔ́	kajupɔtɔ	kàjù-pɔ̀tɔ́	kàsù-pɔ̀tɔ́			kàjù-kùɲú	kɔ̀rɔ̀-kùɲú	mɛ̀rì-màrà-dɛ́yⁿ		kɔ̀rɔ̀ kùnjù-gú, kɔ̀rɔ̀ pɛ̀ndɛ̀-gú, kɔ̀rɔ̀ pɔ̀rɔ̀-gú		ùndù-kúndúgɔ́	kɔ̀dɔ̀ kùnzù	kɔ̀rìyɔ̀ pɛ̀ndɛ̀-gá:\\pɛ̀ndɛ̀-gɛ́:	kùrùnjú	kɔ́bɛ̀ kúrúnjúŋgúrù			
soil/stone	stone	sol/pierre	pierre	48	1	1	stone, rock	pierre	02608	old	basic	stone/rock		stone, rock	pierre, rocher	tùwó	símèè	pɛ́gɛ́lɛ́	kúrⁿù	kúrⁿò	kúrⁿô	tumo	tùmó	tùwó	tùmó	tùmó	tùwó	tìbú, dúmɔ́			dúmbɔ́, tíbé	kínú	cínú	cìn	kìnû:\\kǐn-bò	cé:mbè	kínnì	kínì (kínì gé)	kínì	kìnì, kìn wê:
soil/stone	soil	sol/pierre	terre	48	4	2	soil, earth	banco, terre	02628	old	basic	soil		earth (as brick mix or to repair walls)	banco, terre (pour faire des briques ou pour crépir les murs)	lɔ̀gú	ɡùwíɛ̀	pɔ́n \\ pɔ́nú	lěw	lěy	lègí	legu	lègú	lègú	lègú	lègú	òsóró	làgú 			ùnjúm		lègú	pɔ̀ndɔ̀, ùɲùmà	ǹjâ:\\ǹjɛ̂:	ɔ̀gɔ̀	ɔ́gɔ́	ɔ̀gɔ̀ (ɔ̀gɔ̀ gé)	bɔ̀gɔ̀	ɔ̀gɔ́ (y-)
soil/stone	sand	sol/pierre	sable	48	6	1	sand	sable	02639	old	basic	sand	sand, sandy soil	sand, sandy soil	sable, sol sableux	ìsò-súměy	n ɲímbɛ̀	sɔ̀sɔ́wⁿ \\ sùsɔ́wⁿ	sùmòy-sô:	sùmbày bú:rù	sɔ̀:mbɔ̀ sɛ́:rⁿɛ̀, sɛ́:rⁿɛ̀	sisɔm,susɔm	sì-sɔ̌m, sù-sɔ̌m	sù-sǔm	sìsɔ̌m	sì-sɔ̌m	sɔ̀ⁿ̀sɔ̀nɔ́	sù-sǒm			sɔ̀lùmɔ́	sòònnò ísílɛ́	sɔ̀lmɔ́	sɔ̀nzɔ̀m	sɔ̀ⁿnɛ́ndɛ̀	síyɔ́wⁿ	sóyndà	só: bùgàrè	só:njà	sòyndà
soil/stone	clay	sol/pierre	argile	48	7	1	clay	argile	02641	old			clay	clay	argile	lɔ̀gù mònú	dɥɛ̀ɛ́	pɔ́nú	àtây	lěy	lègì pɔ́ndì	atay	àtáy	káttâl			tàrá ósòrò, tàrá	làgú			ùnjúm		lègú	àtây, pɔ̀ndɔ̀	ǹjà: mùgô:	bɛ́rɛ́	ɔ̀gɔ̀ nógóló			
soil/stone	dust	sol/pierre	poussière	48	8	1	dust	poussière	02648	old			dust	dust	poussière	kúsò	kórí	úgúnú	kù-kɔ̀rɔ̌y	kɔ̀-kɔ̀rɔ̌y	kɔ́ŋgɔ̀	kɔŋɔ	kɔ́ŋɔ̀	kɔ́ŋgɔ̀, kúŋgɔ̀	kɔ́ŋɔ̀	kɔ́ŋɔ̀	pùrùgíⁿ	kɔ́ŋɔ̀			úg-gúnnɔ́	úgtèlè	kɔ́ŋgú	úrⁿá	kùlɛ̀-kúlɛ̀-ŋgò	kòŋgò	kúndálè		kùlɛ́-ŋ-kùlɛ̀	kùndàlè
wood/stick	wood	bois/bâton	bois	49	1	1	wood, firewood	bois	02656	old		wood		wood	bois	tìrⁿú	síɛ̀	tírⁿú	tìrⁿú ~ tìrⁿí	tǐn	tìrⁿí	tin	tǐn	tìrⁿí	tǐn		tǐⁿ	tǐn			tìnú	bèég, tééŋ	tìnɛ̌:	té:	té:-ŋgó\\té:	tè:ŋgè	té:ŋgé		tè:ŋgè	té:ŋgé
wood/stick	tree	bois/bâton	arbre	49	2	1	tree, shrub	arbre, arbuste	02660	old	basic		tree or large woody shrub	tree or large woody shrub	arbre ou gros arbuste ligneux	tìwⁿá, tìwⁿà-ná:	dʷàɛ̀ \\ dʷàà		tìwⁿɛ̌yⁿ	tìměyⁿ	tùmá	tiwⁿe	tìwⁿé	tìwⁿɛ́		tìwⁿɛ́	tìmɛ́	tɛ̀wⁿɛ́			tìmɛ́, ùrìyó	kíŋúnɔ̀	tìmǎ:	tìmè, tìmɛ̀ (archaic)	tìmɔ̂:\\tìmɛ̂:	tílŋgɔ́	tíníŋgɔ̀	tìŋgɔ́ (tìŋgɔ́ gè)	tílíŋgè	tìndìgɔ̀
wood/stick	staff/stick	bois/bâton	bâton	49	3	1	stick, staff	bâton	02662	old			staff, stick (general word)	staff, stick (general word)	bâton (mot général)	béré	búr̃à	bàɣá	béré	béré	béré	bere	béré	béré	béré		bá:gá	bágá			tànnàá	bèég, bèègú	bé:	táná, tànà-bèndé	bǎ:-gò\\bǎyè	túmá	túmà		túmà, tè:bè	tùmà
village/bush	bush	village/brousse	brousse	52	3	1	outback, bush	brousse	02733	old			the bush, outback (away from settlements)	the bush, outback (away from settlements)	la brousse (hors des villages)	ǒw	n náà	òlú	ɔ̀rⁿɔ́:	ɔ̀rⁿɔ́:	ǒ:	eju	èjú	ǒy	ègú	èjù bómó	bàrá	sóló			òlú	ónùŋ	ándá	òy	kɛ́rɛ́	góló	kɔ̂yⁿ		kɛ́ (kɛ̂:)	kɔ̀yⁿ
house	house	maison	maison	54	1	1	house	maison	02762	old		house	house	house	maison	íló	kóò	gìrⁿú	úrò	úrò	ńdô ~ índô	uro	úró	íré	úró	úró	gìrⁿí	gɛ̀rⁿɛ́			gìnɛ́	ḿbùŋ	úló	ʔə́ló	ólé ~ óló\\ólé	jíwá	débù		ʔòbò	dèm
topography	road	topographie	chemin	57	5	1	road	chemin, route	02969	old	basic		road, path	road, path	chemin, route	ósú	jɛ̀ɛ̀mbé	bɛ́dɛ́	ósù	ósù	ósî, òsì-bìrⁿɛ́	oju,ojuka	ójú, òjù-ká:	ósú	òsù-ká:	ójú, òjù-ká:	ójú	ójú, òjù-ná:	ʔùjú		ódú, òdù-náá, ònnáá	ósùgù	òdùbǎ:	ózú	ùsfɔ̌:\\ùsfɛ̌:, ùspɔ̌:\\ùspɛ̌:	òjì	ójí	èjìmì (èjìmì gé)	ʔòjì	òjù (y-)
topography	mountain/slope	topographie	montagne/pente	57	6	1	inselberg, mountain	inselberg, montagne	02973	old	basic		inselberg, rocky mountain with cliffsides	inselberg, rocky mountain with cliffsides	inselberg, montagne rocheuse avec falaise	tɔ́rɔ́	símèè		tɔ́rɔ̀, kùrⁿù-tɔ́rɔ̀	tɔ́rɔ̀	tɔ́rɔ̂	tumo,tɔrɔ	tùmó, tɔ́rɔ́	tùwò-jǎw	tɔ̀rɔ̀-tùmó							pɛ̀gɔ́ɔ̀		kɔ́ŋɔ́			pɛ́gɔ̀			
topography	mountain/slope	topographie	montagne/pente	57	6	2	mountain, inselberg	montagne, inselberg	02974	old	basic			mountain, tall inselberg	montagne, grand inselberg			kòkóó	náyⁿ	náyⁿ	tɔ́rɔ̂, náyⁿ	nayⁿ,tɔrɔnayⁿ	náyⁿ, tɔ̀rɔ̀-náyⁿ	tɔ́rɔ́			tùwó	kù-kô:			pɛ̀gɛ́lɛ́	pɛ̀gɔ́ɔ̀	dàbá		kóŋgó:\\kóŋgé:	cé:mbè ("stone")			sóŋgò	sɔ́ŋgɔ́
topography	mountain/slope	topographie	montagne/pente	57	6	3	hill	colline	02975	old	basic			rocky hill	colline rocheuse			kòkóó	tɔ̀rɔ̀-[cì-cɛ̀njú]		pà-pàgìrí	tɔrɔtumo,tumo	tɔ̀rɔ̀-tùmó, tùmó					sɔ̀ŋɔ́			pɛ̀gɛ́lɛ́	pɛ̀gɔ́ɔ̀		sɔ̀ŋɔ̀	pɛ̀gɔ̀lɔ̂:\\pɛ̀gɛ̀lɛ̂:			kàwà (kàwà gé)		sɔ́ŋgɔ́
watercourse/swim	pond	cours d'eau/nager	mare	58	1	1	pond, pool	mare, marigot	03028	old			pond, pool (any size)	pond, pool (any size)	mare, marigot (de toutes dimensions)	dɛ́	déẁ		tà:-wàrá	tà:mbá	tàgá	buro	búró	tàgá	búró	búró	búró				mùgó	gòlònó	tàgá	tàgà	tàgǎ:\\tàgɛ̌:	mí: bòndó, bóndó	ɔ́ndɔ́		fɛ̀tɔ́	tàgà
watercourse/swim	river	cours d'eau/nager	fleuve	58	2	1	river, stream	fleuve, rivière	03033	old			stream, small river	stream, small river	fleuve, rivière	ísà	ŋɔ́ɔ́mbɛ̀	góró	gòrǒy	gòrǒy	góró	goro	góró	gó:ró			góró	góló			gòlònnó	dùnnú	gò:ndó	gòndòlò	ɔ̀ndɔ̀-kóló\\-kólé	ìnì	á:mbá		yì:lì	ɔ̀ndɔ̀gɔ̀lɔ̀ (ɲ-)
watercourse/swim	swim	cours d'eau/nager	nager	58	7	1	swim	nager	03052	old	basic			swim, go swimming	nager, aller nager	mùgú\\mùgó			á-bâl bàlá	yúnâm káŋ	nì:-bɛ́ndì bɛ̀ndí	niyeyya,bugo	ní:-yêy yǎ:, bùgó ('be in water')	bɛ́n bɛ̀nɛ́		ní:-yêy yǎ:	bɛ̌n bɛ̀nɛ́	bònî: bàn-ɛ́:, dǐ: bàn-ɛ́:, [dì: bán-ɛ̀:] yǎ:			dìì múgó yàá		ínjé mùgó (mùgó-tì-)	ínjú bùgó	bándè bàndí\\bàndè	yì:nì kán(ú)	mì: búnjò:ⁿ ándé	ɲándò (ɲàndè, ɲándé-rí)	gɔ́ mɛ́rɛ̀	ɲí:ní kán
celestial body	sun	corps céleste	soleil	59	1	1	sun	soleil	03058	old	basic		sun	sun	soleil	nǒŋ	n ɲíɛ́	nǎj	ùsú	ùsú	ùsí	nini	nì-nǐ:	nì-nǐ:	nì-nǐ:	nì-nǐ:	nù-nùŋú	nǎm			nǎm	ísígú	ùdù-gó	ìzùgè ~ ìzìgè	ùjú-ŋgó	yè-cíndò, íɲímɛ̀ ('hot sun')	gé:wⁿè	gɛ̀wⁿɛ́ (gɛ̀wⁿɛ́ gè)	ɲɛ́ŋɛ̀, ʔírò (in collocations)	gɛ̀:ⁿ
celestial body	moon 	corps céleste	lune	59	2	1	moon	lune	03059	old	basic		moon	moon	lune	ìwá	ɥìɛ́	ìjèpírú	ùwɔ́	wǎ:	wǎ:	ɛ	ɛ̌:	ɛ̌:	ɛ̌:	ɛ̌:	ɔ̌:	yè: píl, yě:			ììyɛ́	wɔ́ɔ́gù	swǎ:	swà:	sà:gé\\sà:gú-mbó	éŋání	wɛ̂:	wɛ̂: (wɛ̂: gé)	yá:-sìmà	wɛ̀:
celestial body	star	corps céleste	étoile	59	3	1	star	étoile	03063	old	basic	star	star	star	étoile	sémrěy	tòrèmɛ́	tòró	tóró	bàndà kɔ̀:rɔ̌y	wà:-kɔ̀rɔ́	toro	tóró	tóró	tóró		tóró	tònòlò-ý			tòndòlò-ý	tólò	tóndó:	tóndóló, sàrⁿà-kɛ̀lɛ̀	ànjì-[kɔ̀lɛ́-ŋgó]\\ànjì-kɔ̀lɛ́	kɔ̀lɔ̀ŋ-kɔ́lɔ̀wⁿ	áŋkɔ́lɛ̀	wɛ́: kɛ̀rɛ̀ⁿ-kɛ́rɛ̀ (wɛ́: kɛ̀rɛ̀ⁿ-kɛ́rɛ̀  gé)	jɔ́ŋgúlɛ̀	ɔ̀jɔ̀gɔ̀lɔ̀ (y-)
weather	rain	météorologie	pluie	60	1	1	rain	pluie	03092	old	basic	rain		rain (noun)	pluie	àrⁿá	ʒṍɔ̃̀	àrⁿá	bòlú ~ bǒl	bòndú	bòndí	arⁿa	àrⁿá	àrⁿá	àrⁿá		àrⁿú	àrⁿá			àná	áláà	àrⁿá	àrⁿùŋ	ǎ:l-ŋgé\\à:lé	á:mì	kúmáŋgà	bìrâwⁿ (bìrâwⁿ gé)	ʔáyà	kùmà:ŋgà
weather	rain	météorologie	pluie	60	1	3	rain fall	pleuvoir	03094	old			(rain) fall (verb only)	(rain) fall (verb only)	(pluie) tomber, pleuvoir (verbe seulement)	mùrú\\mùrɔ́	ʒóɔ̀ⁿ	mìwɔ́	mìrⁿɛ́	mìrⁿɛ́	wɔ̌:, mìrⁿé	mirⁿe	mìrⁿé	mìrⁿé	mìrⁿé		lɔ́wɔ́	mɛ̌:-\\mɛ̌:			mìyɛ́	wɛ̀ɛ́	mìrⁿɛ́ (mìrⁿɛ́-tì)	tɛ́gɛ́	tɛ́gɛ́	tɛ́gɔ́	píjé		ɲî:	wwɛ́:
weather	wind	météorologie	vent	60	6	1	wind (air)	vent	03118	old	basic	wind	wind (airflow)	wind (airflow)	vent	zámà	péʋɛ̀rɛ̀	óɲó	ó:sò	ósósô:	úsúrⁿò, úsúrⁿɔ̀	oɲo	ó:ɲó	ó:njó	ó:só	ó:ɲó	ó:ɲó	óɲɔ́			ódóró	ɛ́nnɛ̀	ídá	ɛ́nɛ́n ~ ɛ́nɛ́ŋ	énáná-ŋgó\\énáné: = ɛ́nɛ́nɛ́:, éná-ŋgó\\ɛ́nɛ́:	ìɲìnɛ̀	yálé	ɛ̀rɛ̀rì (ɛ̀rìgì gé)	yàlè	yàlè
weather	sky	météorologie	ciel	60	8	1	sky	ciel	03133	old			sky	sky	ciel	àlkǔmnɔ̀	ʒóɔ̀ⁿ	àlàgàlá	yàrǐ:, yàrí	yàrí:	yàrí	yarumana,yɛrumana	yàrù-máná, yɛ̀rù-máná	yàr-kú:	yèrmáná	yɛ̀rù-máná	àràkárá	àlgálá			àlà-kàlá	álàgùl, álàgùlù	ɔ́ngɔ́	àzàgàlà	àjǎn	á: dàná ("God's head")	àmànà kó:ló		ʔáŋkóŋgò	àmànà kó:-lò  ("God's above")
weather	cloud	météorologie	nuage	60	9	1	cloud	nuage	03134	old	basic		cloud	cloud	nuage	kùrɔ́	póòrò	kùlùmɔ́	yàr-kùrɔ́	nànà:rⁿǎyⁿ	yàr-kùmùrⁿá	kuruwɔ	kùrùwɔ́	[yàr-kù:]-kúrɔ́	kùrùwɔ́	kùrùwɔ́	kùrùgɔ́	kùlmɔ́			kùlùmmɔ́	dàgúŋ	àrⁿà-kùrbá ("rain-...")	kùrùbàrà	kùndà-kùndǎ:\\kùndɛ̀-kùndɛ̌:	á:ní	álè	ɔ̀rɔ̀ (ɔ̀rɔ̀ gé)	póndù	àlè (y-)
direction	left	direction	gauche	61	4	2	left	gauche	03156	old			left (hand, etc.)	left (hand, etc.)	(main etc.) gauche	bàrⁿíyⁿà	bárà (n nìì)	nàná	bànǎyⁿ	bàndǎy	bàrìyɛ́	bana	bàná	bàlá	bàná		nàná	nàná, bàlàgá			nààndá	nàndáŋ	bàndá	nàndà	nàndǎ:\\nàndɛ̌:	nɔ́:ndɔ́	ná:gà		nùmà-gá X (nùmà-gá sè 'left foot')	nwá:gá
direction	right	direction	droit (non gauche)	61	5	3	right	droit	03160	old			right (hand, etc.)	right (hand, etc.)	(main etc.) droit	nǒyⁿ	sííbéɛ̀	ííⁿ	ɲɛ̌yⁿ	ɲɛ̌yⁿ	nàrⁿìyⁿɛ́	ɲa	ɲǎ:	ɲɛ̌:	yⁿǎ:		ɲǎ:	ɲɛ̌:			ɲ̀ɲɛ́	ŋáàŋ	ɲɛ̀-ŋgɛ́	ɲɛ̀	ɲɛ̀-ŋgó\\ɲɛ̌:	ɲɔ́:	núyⁿà		dìnjó X	ɲà:
direction	up	direction	haut	61	6	5	go up, rise	monter	03165	old			go up, rise	go up, rise	monter	ùnú\\ùnɔ́	ɥìɛ̀		ùrɔ́	ùrá	ǹdɛ́	urɔ	ùrɔ́	ùlɔ́	ùrɔ́	ùrɔ́	dɔ̀wɔ́	úló			úló	dàmbɛ́	ìlɛ́ (ìl-â:-, imprt ílá)	ʔə́lɛ́\\ʔə̀là-lí	ìlɛ́	élégó (go up onto), ílɔ́	dígɛ́		ʔɔ́llɛ̀	dígɛ́
deixis	deictic	deixis	déictique	62	1	2	that	cela	03190	old	basic			that (nonproximal deictic, near- and far-distant, all unpredictable forms)	cela (déictique, non proximatif, toutes formes lexicales)	ŋ̀gú									lɔ̂:			X kó			nìí		mà-gú (InanSg), mà-ýⁿ (InanPl), mà-ḿ (AnSg), mà-bɔ́ (AnPl)			é-wò	nɛ̂:			èm-bà
deixis	definite	deixis	défini	62	2	1	that	cela	03191	old	basic			that same, the aforementioned (strong discourse-definite, often preposed ko)	ce même, le dit (défini, souvent ko)	kɔ̀ X					kú X	ko	kò X	kò X			kó X	kó X			kó, wó			X kó (and other Near-Distant demonstratives)		érì			ʔɛ̀mɛ́	ɛ̂:
deixis	here	deixis	ici	62	3	1	here	ici	03192	old	basic		here	here	ici	ìní	ímà	ɔ́n	ŋ̀gú-rù	ŋ̀gúrì	ŋ̀gá	nidiⁿ,ni	ní dì:ⁿ, nì dî:ⁿ, ní	ŋ̀gúrù	ní-dì:ⁿ	ní di᷈:ⁿ	nî	nú-nɛ̀, nú-ǹ			nɔ̀-nɔ́, nɔ̀-nú	ónì	ŋ̀gɔ́	ŋ̀gí ~ ǹjí	ŋ̀gîn, ŋ̀gí mà, ên	mó-ŋà, mbé:	ínâ, ìnûwⁿ, òló	nàŋgà	má-lò, mà:-nâ:	nǔwⁿ
deixis	here	deixis	ici	62	3	2	here	ici	03193	old	basic			here (generalized)	ici (généralisé)			ɔ́n			ŋ̀gá	yidiⁿ,yi,yile	yì-dî:ⁿ, yí-dì:ⁿ, yí, yí-lé	ŋ̀gárù			yî	ḿmá:			nɔ̌m bà		é: nɛ̀	ḿbà ('around here'), kóy ('just over here')						
deixis	there	deixis	là-bas	62	4	5	there	là	03199	old			there (logophoric)	there (logophoric)	là (logophorique)		kéɛ̀ⁿ	kókóó \\ ngɔ́ɔ́				ɛnle,anle	ɛ̌n-lé, ǎn-lé								gàndà kó, gàndà wó									
deixis	anaphoric/logophoric	deixis	anaphorique/logophorique	62	5	1	logophoric	logophorique	03200	old	basic		(logophoric singular pronoun)	(logophoric singular pronoun)	(pronom logophorique singulier)	àsí	káẁ		á	á	á	ɛnɛ,inɛ	ɛ̀nɛ́, ìnɛ́ (uncommon variant)	ɛ̀lɛ́		ɛ̀nɛ́	ɛ̀nɛ́	ùnɔ́:			ǹdɛ̀mɔ́		á, -m (on verb for clausal subject)	á	(none)	(none)	à-	á		
deixis	anaphoric/logophoric	deixis	anaphorique/logophorique	62	5	2	reflexive	réfléchi	03201	old	basic			(reflexive possessor, 3Sg but not 1st/2nd persons)	(possessif réfléchi, 3e personne singulier mais non 1re/2e personnes)				á	á	á ..., ... á gɔ̀	ɛnɛ,inɛ	ɛ̀nɛ́ mà, ìnɛ́ mà	ɛ̀lɛ́ wà							ńdɛ́m-mɔ̀		X ágá	á	mó kì:	(none)	nà	ǹ-		
deixis	anaphoric/logophoric	deixis	anaphorique/logophorique	62	5	3	reflexive	réfléchi	03202	old	basic			(reflexive possessor, for all pronominal categories)	(possessif réfléchi, toutes catégories pronominales confondues)	... mà											sǎⁿ									(none)	há:nù kání			
deixis	anaphoric/logophoric	deixis	anaphorique/logophorique	62	5	4	reflexive	réfléchi	03203	old	basic			(reflexive object)	(complément réfléchi)	kú mà			á kû:, á	á kû:	á-ŋ	iniwⁿe	ìnìwⁿé	ɛ̀lɛ́		ìnìwⁿé	sǎⁿ	kû: X			kúú		á (3rd person)	kó-àŋ	mó kì:	(none)	kó: nà	ìŋ gí (3Sg)	[X kô:] ŋgù	[X kò: ŋ] (3Sg kò: nà ŋ̀)
deixis	reciprocal	deixis	réciproque	62	6	1	each other	réciproquement	03205	old	basic			reciprocally, each other (two persons)	réciproquement, l'un l'autre (deux personnes)	túnǒmmà			tǔ:	tǔ:	tu᷈:	tɔn	tɔ᷈:-n	tùwɔ̂-m		tɔ᷈:-n	sàⁿ túⁿ	tɔ́:ⁿ-m̀			túmɔ̀m		tɛ̀mbɔ̌: (á tɛ̀mbɔ̌: etc.)	tòmò	tòmbó gì	 -yó ~ -yɔ́ (verb suffix)			VERB-gè (perfective)	bò ŋ̀ (2Pl bò à)
deixis	reciprocal	deixis	réciproque	62	6	2	each other	réciproquement	03206	old	basic			reciprocally, each other (more than two humans)	réciproquement, les uns les autres (plus que deux personnes)	túnǒmmà		túwⁿá	tǔ:	tǔ:	tu᷈:	tɔm	tɔ᷈:-m	tùwɔ̂-m		tɔ᷈:-m	sàⁿ túⁿ	tɔ́:ⁿ-m̀			túmɔ̀m		tɛ̀mbɔ̌: (á tɛ̀mbɔ̌: etc.)	tòmò	tòmbó gì, to᷈:n	 -yó ~ -yɔ́ (verb suffix)			VERB-gè	bò ŋ̀ (2Pl bò à)
deixis	reciprocal	deixis	réciproque	62	6	3	each other	réciproquement	03207	old	basic			reciprocally, each other (nonhumans.inanimates, any number)	réciproquement, l'un l'autre (non humains/inanimés, n'importe combien)	túnǒmmà			tǔ:	tǔ:	tu᷈:			tùwɔ̂-m			sàⁿ túⁿ	tɔ́:ⁿ-m̀			túmɔ̀m		tɛ̀mbɔ̌: (á tɛ̀mbɔ̌: etc.)	tòmò		 -yó ~ -yɔ́ (verb suffix)	kà:bù gêwⁿ		VERB-gè	bò ŋ̀ (2Pl bò à)
spatial relation	middle	rapport spatial	milieu	63	1	1	inside	intérieur, dans	03209	old	basic		inside ...	inside ...	à l'intérieur de ...	[X púrò] kù	ŋ kóò	kɔ́lɔ́ nɛ̀	X pírè	... pírè	[X píré] gó	...bɛrɛ,...mabɛrɛ	... bɛ́rɛ̀, ... mà bɛ̀rɛ̂:	X wà bɛ̀rɛ̂:			[X bîn]	X nɛ̀, [X kɔ̀lɔ̀] nɛ̀			kɔ́lɔ́ nɛ		[X bèrⁿá:]	X nà, X gà, [X bèrⁿà] nà	[X kùl] mà	[X kùlyé] ŋà	píjíwⁿ	X kwé	[X dòlóŋgù] ndò	X jáŋgà ŋ̀
spatial relation	between	rapport spatial	entre	63	2	1	between	entre	03217	old	basic			between ... and ...	entre ... et ...	[[... ∴ ] ... lèy] zákà			[[X ya→ Y ya→] gálù] wò, bɛ̀rcɛ́là	[... yà ... yà] gándù wò, [...yà ... yá] gándù wó	[[X yò X yò] gàndì] gà, [[X yò X yò] bɛ̀rɛ̀-gɛ̀ndɛ̀] gà	gan,gigan	[... ...] mà gǎǹ:, gì-gǎn	[... ...] wà gàlû:	gǎn		[X Y] gân	[X lè→] [Y lè→] bèmnà: nɛ̀			X gɛ=le X gɛ=le mì-mìnnɛ́\\dɔ́lú		[XY yílè] nɛ̀	[... mìʔ] [... mì→] bèrⁿà nà	[X má Y mà] bènàn mà	[X bèná] ŋà	bíláŋgà	[X ro Y ro] kàdárà gà	[X yà Y yà] bèlàŋgá-nà	[X nì Y] ná: ŋ̀
existence	be (copula)	existence	être	64	5	1	be	être	03279	old	basic			be, it is (copula, with noun)	être, c'est (copule, avec substantif)	(none)			 =m̀	≡m̀	 =ḿ-	i	≡î:	 =y, =ẁ (íré=ẁ 'it's a house')	≡î:		 =y ~ =ì:	X=y			ɲ	y		 =∴	 =y	 =ẁⁿ	bó:	X wò	X=: (length)	X yó
existence	be (copula)	existence	être	64	5	2	be	être	03280	old	basic			I am (copula, with noun)	je suis (copule, avec substantif)	mí X		múj	 =m̀í-ỳ	≡m-ì	 =m-í	um	≡ùm	 =ùm			íⁿ X=y	mú X=y			ɲ\\m	y	ɲɛ́:=ḿ	 =m̀	 =m̀	mì X=ẁⁿ	ḿbô:	mí X wò	mì X=:	mí X yó
existence	be (copula)	existence	être	64	5	3	be	être	03281	old	basic			not be (copula, with noun)	ne pas être (copule, avec substantif)	jìní		-lá	 =rá	≡m̀-dǎ:	 =ǹǒ:-	la	 =lá	 =rà:			 =y=lò:	X=lǎ:-			lɛ̀, lɛ́	lò	là-	 =lǎ- (3Sg =lǎ:-∅)	 =lá	 =là	-là	X rà	X=là	X=lá
existence	be (somewhere)	existence	se trouver	64	6	1	be (somewhere)	être (quelque part)	03284	old	basic			(sb) be (somewhere)	(qn) être (quelque part)							wɔ	wɔ̀	wɔ̀			wɔ̀ (Sg), wè (Pl)	wɔ̀			wɔ̂, kɔ̂									
existence	be (somewhere)	existence	se trouver	64	6	2	be (somewhere)	être (quelque part)	03285	old	basic			(st) be (somewhere)	(qch) être (quelque part)							kɔ	kɔ̀	kɔ̀			kɔ̀	kɔ̀			kɔ̂									
existence	be (somewhere)	existence	se trouver	64	6	3	be (somewhere)	être (quelque part)	03286	old	basic			he is there	il est là	á d-ɔ̌:, á dà-wɔ́		wó úⁿgɔ́	yá bú	yá bú-n	yá bù	yɔwɔ	yɔ́≡wɔ̀	yɔ̂:	yɔ́ wɔ̀	yɔ́≡wɔ̀	wó yɔ́ wɔ̀	yá wɔ̀			nɔ̀-nú kɔ̂	yò bó	yé bù	yà bó	bó-∅	é wò	ò-bó:	ám bó	bò	nù m̀ bó
existence	be (somewhere)	existence	se trouver	64	6	4	be (somewhere)	être (quelque part)	03287	old	basic			(sb or sth) be (somewhere)	être, se trouver (quelque part)	á dà			bù	bù	bù											bìyɛ́	bù	bò	bó-	bò ~ wò	túlá, bó:	X bó	bò	bó
existence	be (somewhere)	existence	se trouver	64	6	5	exist, be (somewhere)	exister, être (quelque part)	03288	old	basic			exist, there is/are	exister, il y a	á dà			yá bú	yá bú-n	yá bù	yɔkɔ,be	yɔ́≡kɔ̀, bě:	yá kɔ̀	yɔ́ kɔ̀	yɔ́≡kɔ̀	yɔ́ kɔ̀	yá wɔ̀, yá kɔ̀			kɔ̂, yɔ̂	bìyɛ́	yé bù	yà bó	bó-	é wò	kóná:ⁿ bó:	ǎⁿ sò	bò	ɛ̀ m̀ bó
existence	be in (sth)	existence	être dans	64	7	1	be in	être dans	03290	old	basic			(water, grain, etc.) be in (container)	(eau, céréales, etc.) ê. dans (récipient)						yá gàrⁿà	yɔkun	yɔ́≡kùn	yá≡kùn				yá tò					yé gàrⁿà	yà kún, kùn	gánà					
